"Nick.name";"variable"
"Anonym";"Matematicka.analyza.1..Vs."
"Antares";"Matematicka.analyza.1..Vs."
"Baron von Deus";"Matematicka.analyza.1..Vs."
"Bosskiko9";"Matematicka.analyza.1..Vs."
"Dream";"Matematicka.analyza.1..Vs."
"FIL0138";"Matematicka.analyza.1..Vs."
"H4RC1N";"Matematicka.analyza.1..Vs."
"JAY";"Matematicka.analyza.1..Vs."
"Joxi-kun";"Matematicka.analyza.1..Vs."
"kas0203";"Matematicka.analyza.1..Vs."
"MatejK";"Matematicka.analyza.1..Vs."
"Metal!!!";"Matematicka.analyza.1..Vs."
"nikol";"Matematicka.analyza.1..Vs."
"Pomelo_Lover";"Matematicka.analyza.1..Vs."
"Rai";"Matematicka.analyza.1..Vs."
"ROCK!!!";"Matematicka.analyza.1..Vs."
"Sergei B";"Matematicka.analyza.1..Vs."
"SlanyCukr";"Matematicka.analyza.1..Vs."
"TERM";"Matematicka.analyza.1..Vs."
"VH";"Matematicka.analyza.1..Vs."
"Vorteo";"Matematicka.analyza.1..Vs."
"XXX";"Matematicka.analyza.1..Vs."
"Anonym";"uvod.do.logickeho.mysleni..Vs."
"Antares";"uvod.do.logickeho.mysleni..Vs."
"BnQi";"uvod.do.logickeho.mysleni..Vs."
"Bosskiko9";"uvod.do.logickeho.mysleni..Vs."
"DaviVida";"uvod.do.logickeho.mysleni..Vs."
"DON0032";"uvod.do.logickeho.mysleni..Vs."
"Dream";"uvod.do.logickeho.mysleni..Vs."
"FIL0138";"uvod.do.logickeho.mysleni..Vs."
"Giuseppe";"uvod.do.logickeho.mysleni..Vs."
"H4RC1N";"uvod.do.logickeho.mysleni..Vs."
"Hadahada";"uvod.do.logickeho.mysleni..Vs."
"Horst";"uvod.do.logickeho.mysleni..Vs."
"JAY";"uvod.do.logickeho.mysleni..Vs."
"Joxi-kun";"uvod.do.logickeho.mysleni..Vs."
"kas0203";"uvod.do.logickeho.mysleni..Vs."
"Kowal";"uvod.do.logickeho.mysleni..Vs."
"LordOmars";"uvod.do.logickeho.mysleni..Vs."
"MatejK";"uvod.do.logickeho.mysleni..Vs."
"Matessek";"uvod.do.logickeho.mysleni..Vs."
"Metal!!!";"uvod.do.logickeho.mysleni..Vs."
"migmig";"uvod.do.logickeho.mysleni..Vs."
"Mikas";"uvod.do.logickeho.mysleni..Vs."
"nikol";"uvod.do.logickeho.mysleni..Vs."
"Oligarcha";"uvod.do.logickeho.mysleni..Vs."
"Quick";"uvod.do.logickeho.mysleni..Vs."
"ROCK!!!";"uvod.do.logickeho.mysleni..Vs."
"Rudu";"uvod.do.logickeho.mysleni..Vs."
"TERM";"uvod.do.logickeho.mysleni..Vs."
"von0074";"uvod.do.logickeho.mysleni..Vs."
"Vorteo";"uvod.do.logickeho.mysleni..Vs."
"Wywiss";"uvod.do.logickeho.mysleni..Vs."
"XXX";"uvod.do.logickeho.mysleni..Vs."
":))";"uvod.do.programovani..Vs."
"349";"uvod.do.programovani..Vs."
"Adam159";"uvod.do.programovani..Vs."
"Antares";"uvod.do.programovani..Vs."
"Baron von Deus";"uvod.do.programovani..Vs."
"BIL0141";"uvod.do.programovani..Vs."
"BnQi";"uvod.do.programovani..Vs."
"Bosskiko9";"uvod.do.programovani..Vs."
"cratas";"uvod.do.programovani..Vs."
"Ctibi";"uvod.do.programovani..Vs."
"DaviVida";"uvod.do.programovani..Vs."
"Dream";"uvod.do.programovani..Vs."
"FIL0138";"uvod.do.programovani..Vs."
"Horst";"uvod.do.programovani..Vs."
"Hrnicek";"uvod.do.programovani..Vs."
"IgoodFeel";"uvod.do.programovani..Vs."
"IKSDE159";"uvod.do.programovani..Vs."
"JAY";"uvod.do.programovani..Vs."
"JK";"uvod.do.programovani..Vs."
"Joxi-kun";"uvod.do.programovani..Vs."
"Kowal";"uvod.do.programovani..Vs."
"MatejK";"uvod.do.programovani..Vs."
"Matessek";"uvod.do.programovani..Vs."
"Melon Usk";"uvod.do.programovani..Vs."
"Metal!!!";"uvod.do.programovani..Vs."
"migmig";"uvod.do.programovani..Vs."
"Mikas";"uvod.do.programovani..Vs."
"nikol";"uvod.do.programovani..Vs."
"Oligarcha";"uvod.do.programovani..Vs."
"Pomelo_Lover";"uvod.do.programovani..Vs."
"prup";"uvod.do.programovani..Vs."
"Ptakulus";"uvod.do.programovani..Vs."
"Quick";"uvod.do.programovani..Vs."
"Rai";"uvod.do.programovani..Vs."
"ROCK!!!";"uvod.do.programovani..Vs."
"Rudu";"uvod.do.programovani..Vs."
"sajmonkoo";"uvod.do.programovani..Vs."
"SlanyCukr";"uvod.do.programovani..Vs."
"VH";"uvod.do.programovani..Vs."
"XXX";"uvod.do.programovani..Vs."
"xyz";"uvod.do.programovani..Vs."
"FIL0138";"Zaklady.cislicovych.systemu..Vs."
"H4RC1N";"Zaklady.cislicovych.systemu..Vs."
"JAY";"Zaklady.cislicovych.systemu..Vs."
"Metal!!!";"Zaklady.cislicovych.systemu..Vs."
"Oligarcha";"Zaklady.cislicovych.systemu..Vs."
"Pomelo_Lover";"Zaklady.cislicovych.systemu..Vs."
"TERM";"Zaklady.cislicovych.systemu..Vs."
"Wywiss";"Zaklady.cislicovych.systemu..Vs."
":))";"Algoritmy.I..Vs."
"Anonym";"Algoritmy.I..Vs."
"Baron von Deus";"Algoritmy.I..Vs."
"BIL0141";"Algoritmy.I..Vs."
"BnQi";"Algoritmy.I..Vs."
"cratas";"Algoritmy.I..Vs."
"Ctibi";"Algoritmy.I..Vs."
"DaviVida";"Algoritmy.I..Vs."
"FIL0138";"Algoritmy.I..Vs."
"Giuseppe";"Algoritmy.I..Vs."
"H4RC1N";"Algoritmy.I..Vs."
"JK";"Algoritmy.I..Vs."
"kas0203";"Algoritmy.I..Vs."
"MatejK";"Algoritmy.I..Vs."
"Matessek";"Algoritmy.I..Vs."
"Mikas";"Algoritmy.I..Vs."
"nikol";"Algoritmy.I..Vs."
"Pomelo_Lover";"Algoritmy.I..Vs."
"prup";"Algoritmy.I..Vs."
"Ptakulus";"Algoritmy.I..Vs."
"Quick";"Algoritmy.I..Vs."
"ROCK!!!";"Algoritmy.I..Vs."
"Rudu";"Algoritmy.I..Vs."
"sajmonkoo";"Algoritmy.I..Vs."
"SlanyCukr";"Algoritmy.I..Vs."
"tenze";"Algoritmy.I..Vs."
"von0074";"Algoritmy.I..Vs."
"Vorteo";"Algoritmy.I..Vs."
"xyz";"Algoritmy.I..Vs."
":))";"Architektury.pocitacu.a.paralelnich.systemu..Vs."
"cratas";"Architektury.pocitacu.a.paralelnich.systemu..Vs."
"Ctibi";"Architektury.pocitacu.a.paralelnich.systemu..Vs."
"FIL0138";"Architektury.pocitacu.a.paralelnich.systemu..Vs."
"Gzpc";"Architektury.pocitacu.a.paralelnich.systemu..Vs."
